original_article,cleaned_article,change_description,legal_violation_categories
依据《中华人民共和国大气污染防治法》第一百二十条,《中华人民共和国大气污染防治法》第一百二十条,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第一百一十七条,《中华人民共和国大气污染防治法》第一百一十七条,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第108条第1项,《中华人民共和国大气污染防治法》第108条第1项,"去除前缀""依据""",环境保护
依据《中华人民共和国噪声污染防治法》第七十七条第一款第二项之相关规定,《中华人民共和国噪声污染防治法》第七十七条第一款第二项,"去除前缀""依据""; 截断后缀""之相关规定""",环境保护
依据《中华人民共和国噪声污染防治法》第七十七条第一款第二项,《中华人民共和国噪声污染防治法》第七十七条第一款第二项,"去除前缀""依据""",环境保护
依据《上海市环境保护条例》第七十二条第二款,《上海市环境保护条例》第七十二条第二款,"去除前缀""依据""",环境保护
依据《上海市排水管理条例》第四十一条,《上海市排水管理条例》第四十一条,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第四十四条第五款,《上海市市容环境卫生管理条例》第四十四条第五款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第四十四条第二款,《上海市市容环境卫生管理条例》第四十四条第二款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第四十四条第三款,《上海市市容环境卫生管理条例》第四十四条第三款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第四十四条第一款,《上海市市容环境卫生管理条例》第四十四条第一款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第四十二条第一款,《上海市市容环境卫生管理条例》第四十二条第一款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第二十七条第一款,《上海市市容环境卫生管理条例》第二十七条第一款,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第三十六条第二款,《上海市市容环境卫生管理条例》第三十六条第二款,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第一百零八条第一项,《中华人民共和国大气污染防治法》第一百零八条第一项,"去除前缀""依据""",环境保护
依据《上海市市容环境卫生管理条例》第三十三条第四款,《上海市市容环境卫生管理条例》第三十三条第四款,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第九十九条第(二)项的规定,《中华人民共和国大气污染防治法》第九十九条第(二)项的规定,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第九十九条第一款第(二)项,《中华人民共和国大气污染防治法》第九十九条第一款第(二)项,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第九十九条第一项,《中华人民共和国大气污染防治法》第九十九条第一项,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第九十九条第二款,《中华人民共和国大气污染防治法》第九十九条第二款,"去除前缀""依据""",环境保护
依据《中华人民共和国大气污染防治法》第九十九条第二项,《中华人民共和国大气污染防治法》第九十九条第二项,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第七十四条,《中华人民共和国水污染防治法》第七十四条,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第八十三条第(三)项之规定,《中华人民共和国水污染防治法》第八十三条第(三)项之规定,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第八十三条第(二)项,《中华人民共和国水污染防治法》第八十三条第(二)项,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第八十三条第一款第三项的规定,《中华人民共和国水污染防治法》第八十三条第一款第三项的规定,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第八十三条第三项,《中华人民共和国水污染防治法》第八十三条第三项,"去除前缀""依据""",环境保护
依据《中华人民共和国环境影响评价法》第三十一条,《中华人民共和国环境影响评价法》第三十一条,"去除前缀""依据""",环境保护
依据《中华人民共和国环境影响评价法》第三十一条第一款,《中华人民共和国环境影响评价法》第三十一条第一款,"去除前缀""依据""",环境保护
依据《中华人民共和国环境影响评价法》第三十一条第一项,《中华人民共和国环境影响评价法》第三十一条第一项,"去除前缀""依据""",环境保护
依据《中华人民共和国水污染防治法》第八十三条第二项,《中华人民共和国水污染防治法》第八十三条第二项,"去除前缀""依据""",环境保护
依据《上海市生活垃圾管理条例》第五十八条第一款,《上海市生活垃圾管理条例》第五十八条第一款,"去除前缀""依据""",环境保护
依据《上海市生活垃圾管理条例》第五十八条第二款,《上海市生活垃圾管理条例》第五十八条第二款,"去除前缀""依据""",环境保护
依据《上海市餐厨垃圾处理管理办法》第二十二条第一款第(一)项、第二款,《上海市餐厨垃圾处理管理办法》第二十二条第一款第(一)项、第二款,"去除前缀""依据""",环境保护
依据《中华人民共和国水土保持法》第五十四条,《中华人民共和国水土保持法》第五十四条,"去除前缀""依据""",环境保护
依据《北京市生活垃圾管理条例》第七十一条第二款,《北京市生活垃圾管理条例》第七十一条第二款,"去除前缀""依据""",环境保护
依据《北京市生活垃圾管理条例》第七十条第二款,《北京市生活垃圾管理条例》第七十条第二款,"去除前缀""依据""",环境保护
依据《北京市生活垃圾管理条例》第六十九条第一款,《北京市生活垃圾管理条例》第六十九条第一款,"去除前缀""依据""",环境保护
依据《北京市生活垃圾管理条例》第六十八条第一款,《北京市生活垃圾管理条例》第六十八条第一款,"去除前缀""依据""",环境保护
依据《浙江省生活垃圾管理条例》第四十六条,《浙江省生活垃圾管理条例》第四十六条,"去除前缀""依据""",环境保护
依据《浙江省餐厨垃圾管理办法》第二十六条第一款,《浙江省餐厨垃圾管理办法》第二十六条第一款,"去除前缀""依据""",环境保护
依据《西安市生活垃圾分类管理条例》第六十七条第六项,《西安市生活垃圾分类管理条例》第六十七条第六项,"去除前缀""依据""",环境保护
根据《中华人民共和国水土保持法》第五十五条,《中华人民共和国水土保持法》第五十五条,"去除前缀""根据""",环境保护
根据《中华人民共和国水土保持法》第五十四条,《中华人民共和国水土保持法》第五十四条,"去除前缀""根据""",环境保护
根据《北京市生活垃圾管理条例》第六十九条第一款,《北京市生活垃圾管理条例》第六十九条第一款,"去除前缀""根据""",环境保护
根据《南京市市容管理条例》第三十八条第一款第(四)项,《南京市市容管理条例》第三十八条第一款第(四)项,"去除前缀""根据""",环境保护
根据《广东省城乡生活垃圾管理条,《广东省城乡生活垃圾管理条,"去除前缀""根据""",环境保护
根据《杭州市生活垃圾管理条,《杭州市生活垃圾管理条,"去除前缀""根据""",环境保护
根据《西安市生活垃圾分类管理条例》第六十七条第四项,《西安市生活垃圾分类管理条例》第六十七条第四项,"去除前缀""根据""",环境保护
依据《浙江省生活垃圾管理条例》四十七条第二款,《浙江省生活垃圾管理条例》四十七条第二款,"去除前缀""依据""",环境保护
《西安市生活垃圾分类管理条例》第二十四条第七项;,《西安市生活垃圾分类管理条例》第二十四条第七项,"截断后缀"";""",环境保护
《浙江省生活垃圾管理条例》第四十六条处罚决定:罚款,《浙江省生活垃圾管理条例》第四十六条,"截断后缀""处罚决定:罚款""",环境保护
《浙江省生活垃圾管理条例》第四十六条行政处罚决定:罚款,《浙江省生活垃圾管理条例》第四十六条,"截断后缀""行政处罚决定:罚款""",环境保护
《深圳市生活垃圾分类管理条例》第六十九条第二项及,《深圳市生活垃圾分类管理条例》第六十九条第二项,"截断后缀""及""",环境保护
《浙江省环境污染监督管理办法》第三十三条第一、二款,《浙江省环境污染监督管理办法》第三十三条,"截断后缀""第一、二款""",环境保护
《浙江省环境污染监督管理办法》第三十三条第一、二款,《浙江省环境污染监督管理办法》第三十三条,"截断后缀""第一、二款""",环境保护
《浙江省环境污染监督管理办法》第三十二条第一、二款,《浙江省环境污染监督管理办法》第三十二条,"截断后缀""第一、二款""",环境保护
"《浙江省环境污染监督管理办法》第三十四条第一款,",《浙江省环境污染监督管理办法》第三十四条第一款,"截断后缀"",""",环境保护
《浙江省环境污染监督管理办法》第五十一条“排污单位违反本办法第三十三条第一、二款,《浙江省环境污染监督管理办法》第五十一条“排污单位违反本办法第三十三条,"截断后缀""第一、二款""",环境保护
《浙江省环境污染监督管理办法》第五十一条“排污单位违反本办法第三十三条第一、二款,《浙江省环境污染监督管理办法》第五十一条“排污单位违反本办法第三十三条,"截断后缀""第一、二款""",环境保护
《浙江省环境污染监督管理办法》第四十八条“排污单位违反本办法第三十二条第一、二款,《浙江省环境污染监督管理办法》第四十八条“排污单位违反本办法第三十二条,"截断后缀""第一、二款""",环境保护
"《中华人民共和国大气污染防治法》第一百一十五条的规定,对山东民兴建筑工程有限公司罚款",《中华人民共和国大气污染防治法》第一百一十五条的规定,"截断后缀"",对山东民兴建筑工程有限公司罚款""",环境保护
"《深圳经济特区环境噪声污染防治条例》第二十八条第一款,",《深圳经济特区环境噪声污染防治条例》第二十八条第一款,"截断后缀"",""",环境保护
《辽宁省环境保护条例》第五十六条第二款、依据,《辽宁省环境保护条例》第五十六条第二款,"截断后缀""、依据""",环境保护
《辽宁省环境保护条例》第六十九条第三款给予罚款,《辽宁省环境保护条例》第六十九条第三款,"截断后缀""给予罚款""",环境保护
"《浙江省生活垃圾管理条例》第二十七条,",《浙江省生活垃圾管理条例》第二十七条,"截断后缀"",""",环境保护
"《嘉兴市生活垃圾分类管理条例》第十一条第一款第（三）项,",《嘉兴市生活垃圾分类管理条例》第十一条第一款第（三）项,"截断后缀"",""",环境保护
《城市容貌标准》第4.0.6条,《城市容貌标准》,"截断后缀""第4.0.6条""",环境保护
《城市生活垃圾管理办法》第四十二条规定,《城市生活垃圾管理办法》第四十二条,"截断后缀""规定""",环境保护
《郑州市大气污染防治条例》第五十八条第三项“违反本条,《郑州市大气污染防治条例》第五十八条第三项,"截断后缀""“违反本条""",环境保护
《南京市市容管理条例》第三十八条第一款第四项规定,《南京市市容管理条例》第三十八条第一款第四项,"截断后缀""规定""",环境保护
《南京市市容管理条例》第三十八条第一款第(四)项之规定:违反本条,《南京市市容管理条例》第三十八条第一款第(四)项之规定,"截断后缀"":违反本条""",环境保护
《南京市市容管理条例》第二十五条第三款规定,《南京市市容管理条例》第二十五条第三款,"截断后缀""规定""",环境保护
《浙江省城镇生活垃圾分类管理办法》第二十七条的相关规定,《浙江省城镇生活垃圾分类管理办法》第二十七条,"截断后缀""的相关规定""",环境保护
《浙江省城镇生活垃圾分类管理办法》第二十八条、,《浙江省城镇生活垃圾分类管理办法》第二十八条,"截断后缀""、""",环境保护
"《浙江省城镇生活垃圾分类管理办法》第二十六条,",《浙江省城镇生活垃圾分类管理办法》第二十六条,"截断后缀"",""",环境保护
"《浙江省城镇生活垃圾分类管理办法》第十五条,",《浙江省城镇生活垃圾分类管理办法》第十五条,"截断后缀"",""",环境保护
"《浙江省生活垃圾管理条例》第三十一条第一款,",《浙江省生活垃圾管理条例》第三十一条第一款,"截断后缀"",""",环境保护
《浙江省生活垃圾管理条例》第三十一条第一款第(二)项之规定处罚种类:罚款,《浙江省生活垃圾管理条例》第三十一条第一款第(二)项之规定,"截断后缀""处罚种类:罚款""",环境保护
《杭州市生活垃圾管理条例》第三十二条第一款第(一)项之规定行政处罚种类及金额:罚款,《杭州市生活垃圾管理条例》第三十二条第一款第(一)项之规定,"截断后缀""行政处罚种类及金额:罚款""",环境保护
《杭州市生活垃圾管理条例》第六十六条及,《杭州市生活垃圾管理条例》第六十六条,"截断后缀""及""",环境保护
《杭州市生活垃圾管理条例》第六十六条和,《杭州市生活垃圾管理条例》第六十六条,"截断后缀""和""",环境保护
《杭州市生活垃圾管理条例》第六十六条处罚决定:罚款,《杭州市生活垃圾管理条例》第六十六条,"截断后缀""处罚决定:罚款""",环境保护
《杭州市生活垃圾管理条例》第六十六条并结合,《杭州市生活垃圾管理条例》第六十六条,"截断后缀""并结合""",环境保护
《江苏省污染源自动监控管理办法(试行)》第十四条、,《江苏省污染源自动监控管理办法(试行)》第十四条,"截断后缀""、""",环境保护
《杭州市生活垃圾管理条例》第六十六条行政处罚决定:罚款,《杭州市生活垃圾管理条例》第六十六条,"截断后缀""行政处罚决定:罚款""",环境保护
《杭州市生活垃圾管理条例》第六十六条的规定：“生活垃圾分类投放管理责任人违反本条,《杭州市生活垃圾管理条例》第六十六条的规定,"截断后缀""：“生活垃圾分类投放管理责任人违反本条""",环境保护
《杭州市生活垃圾管理条例》第六十六条的规定及,《杭州市生活垃圾管理条例》第六十六条的规定,"截断后缀""及""",环境保护
《宁波市环境污染防治规定》第十条第一款的规定：“建设项,《宁波市环境污染防治规定》第十条第一款的规定,"截断后缀""：“建设项""",环境保护
《宁波市环境污染防治规定》第十条第一款、现依据,《宁波市环境污染防治规定》第十条第一款,"截断后缀""、现依据""",环境保护
《宁波市环境污染防治规定》第十条第一款“建设项目未取得环境影响评价批准文件的,《宁波市环境污染防治规定》第十条第一款,"截断后缀""“建设项目未取得环境影响评价批准文件的""",环境保护
《宁波市环境污染防治规定》第十条第一款“建设项,《宁波市环境污染防治规定》第十条第一款,"截断后缀""“建设项""",环境保护
《宁波市环境污染防治规定》第十条第一款:“建设项目未取得环境影响评价批准文件的,《宁波市环境污染防治规定》第十条第一款,"截断后缀"":“建设项目未取得环境影响评价批准文件的""",环境保护
《安徽省大气污染防治条例》第二、三、四项,《安徽省大气污染防治条例》,"截断后缀""第二、三、四项""",环境保护
《安徽省大气污染防治条例》第2167号罚款,《安徽省大气污染防治条例》第2167号,"截断后缀""罚款""",环境保护
《宁波市环境污染防治规定》第三十二条第一款和,《宁波市环境污染防治规定》第三十二条第一款,"截断后缀""和""",环境保护
《宁波市环境污染防治规定》第九条第四款“环境影响评价文件经批准后,《宁波市环境污染防治规定》第九条第四款,"截断后缀""“环境影响评价文件经批准后""",环境保护
《宁波市环境污染防治规定》第九条第四款:“环境影响评价文件经批准后,《宁波市环境污染防治规定》第九条第四款,"截断后缀"":“环境影响评价文件经批准后""",环境保护
《宁波市环境污染防治规定》第二十二条第一款;处罚依据:,《宁波市环境污染防治规定》第二十二条第一款,"截断后缀"";处罚依据:""",环境保护
《安徽省大气污染防治条例》第六十二条第二项的规定根据,《安徽省大气污染防治条例》第六十二条第二项的规定,"截断后缀""根据""",环境保护
《安徽省环境保护条例》第五十条第一款第(一)项、,《安徽省环境保护条例》第五十条第一款第(一)项,"截断后缀""、""",环境保护
《安徽省大气污染防治条例》第六十二条规定,《安徽省大气污染防治条例》第六十二条,"截断后缀""规定""",环境保护
《宁波市建筑垃圾管理办法》第五十一条第一款、,《宁波市建筑垃圾管理办法》第五十一条第一款,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染防治法》第六十八条的规定对该单位处以如下行政处罚：罚款,《中华人民共和国固体废物污染防治法》第六十八条的规定,"截断后缀""对该单位处以如下行政处罚：罚款""",环境保护
《城镇排水与污水处理条例》第六章第五十条第一款:“违反本条,《城镇排水与污水处理条例》第六章第五十条第一款,"截断后缀"":“违反本条""",环境保护
《城镇排水与污水处理条例》第五十条第款,《城镇排水与污水处理条例》第五十条,"截断后缀""第款""",环境保护
《城镇排水与污水处理条例》第五十条第二款违反本条,《城镇排水与污水处理条例》第五十条第二款,"截断后缀""违反本条""",环境保护
《城镇排水与污水处理条例》第五十条第二款规定行政处罚决定:罚款,《城镇排水与污水处理条例》第五十条第二款,"截断后缀""规定行政处罚决定:罚款""",环境保护
"《城镇排水与污水处理条例》第五十条第二款的规定,现对你单位作出<br/>罚款","《城镇排水与污水处理条例》第五十条第二款的规定,现对你单位作出<br/>","截断后缀""罚款""",环境保护
《城镇排水与污水处理条例》第五十条第二款、,《城镇排水与污水处理条例》第五十条第二款,"截断后缀""、""",环境保护
《城镇排水与污水处理条例》第五十条第二款“违反本条,《城镇排水与污水处理条例》第五十条第二款,"截断后缀""“违反本条""",环境保护
《城镇排水与污水处理条例》第四十九条处罚决定:罚款,《城镇排水与污水处理条例》第四十九条,"截断后缀""处罚决定:罚款""",环境保护
《城镇污水排入排水管网许可管理办法》第二十六条及,《城镇污水排入排水管网许可管理办法》第二十六条,"截断后缀""及""",环境保护
《城镇排水与污水处理条例》第四十八条;行政处罚决定:罚款,《城镇排水与污水处理条例》第四十八条,"截断后缀"";行政处罚决定:罚款""",环境保护
"《城镇排水与污水处理条例》第四十二条第（二）项,",《城镇排水与污水处理条例》第四十二条第（二）项,"截断后缀"",""",环境保护
《城镇排水与污水处理条例》第四十二条第一项规定,《城镇排水与污水处理条例》第四十二条第一项,"截断后缀""规定""",环境保护
《宁波市大气污染防治条例》第五十三条第（三）项“违反本条,《宁波市大气污染防治条例》第五十三条第（三）项,"截断后缀""“违反本条""",环境保护
《城镇排水与污水处理条例》第五十条第一款、,《城镇排水与污水处理条例》第五十条第一款,"截断后缀""、""",环境保护
《广东省大气污染防治条列》第八十三条和,《广东省大气污染防治条列》第八十三条,"截断后缀""和""",环境保护
《中华人民共和国大气污染防治法》第一百一十七条第(一)项规定处以罚款,《中华人民共和国大气污染防治法》第一百一十七条第(一)项,"截断后缀""规定处以罚款""",环境保护
《中华人民共和国大气污染防治法》第一百一十七条、,《中华人民共和国大气污染防治法》第一百一十七条,"截断后缀""、""",环境保护
《中华人民共和国大气污染防治法》第一百一十七条第一款第一项规定,《中华人民共和国大气污染防治法》第一百一十七条第一款第一项,"截断后缀""规定""",环境保护
"《中华人民共和国大气污染防治法》第一百一十七条第一项,",《中华人民共和国大气污染防治法》第一百一十七条第一项,"截断后缀"",""",环境保护
《中华人民共和国大气污染防治法》第一百一十七条第一款第八项规定,《中华人民共和国大气污染防治法》第一百一十七条第一款第八项,"截断后缀""规定""",环境保护
《中华人民共和国土壤污染防治法》第八十六条第一款第一项处罚决定：行政罚款,《中华人民共和国土壤污染防治法》第八十六条第一款第一项,"截断后缀""处罚决定：行政罚款""",环境保护
"《山东省环境噪声污染防治条例》第二十三条,",《山东省环境噪声污染防治条例》第二十三条,"截断后缀"",""",环境保护
《山东省城镇容貌和环境卫生管理办法》第二十条规定,《山东省城镇容貌和环境卫生管理办法》第二十条,"截断后缀""规定""",环境保护
《山东省大气污染防治条例》第六十八条第三项:违反本条,《山东省大气污染防治条例》第六十八条第三项,"截断后缀"":违反本条""",环境保护
《城镇排水与污水处理条例》第五十条第一款“违反本条,《城镇排水与污水处理条例》第五十条第一款,"截断后缀""“违反本条""",环境保护
《唐山市大气污染防治若干规定》第十五条第二款罚款,《唐山市大气污染防治若干规定》第十五条第二款,"截断后缀""罚款""",环境保护
《合肥市市容和环境卫生管理条例》第二十三条第三款根据,《合肥市市容和环境卫生管理条例》第二十三条第三款,"截断后缀""根据""",环境保护
《北京市大气污染防治条例》第一百一十二条和,《北京市大气污染防治条例》第一百一十二条,"截断后缀""和""",环境保护
《北京市大气污染防治条例》第一百一十四条第二款和,《北京市大气污染防治条例》第一百一十四条第二款,"截断后缀""和""",环境保护
《中华人民共和国噪声污染防治法》第四十三条规定,《中华人民共和国噪声污染防治法》第四十三条,"截断后缀""规定""",环境保护
《中华人民共和国噪声污染防治法》第四十三条之规定行政处罚种类及金额:罚款,《中华人民共和国噪声污染防治法》第四十三条之规定,"截断后缀""行政处罚种类及金额:罚款""",环境保护
《北京市大气污染防治条例》第七十四条第二款规定,《北京市大气污染防治条例》第七十四条第二款,"截断后缀""规定""",环境保护
《北京市大气污染防治条例》第三十五条第二款规定,《北京市大气污染防治条例》第三十五条第二款,"截断后缀""规定""",环境保护
《台州市城市市容和环境卫生管理条例》第四十三条第二款之规定决定给予中岭建设集团有限公司处以罚款,《台州市城市市容和环境卫生管理条例》第四十三条第二款之规定,"截断后缀""决定给予中岭建设集团有限公司处以罚款""",环境保护
《中华人民共和国噪声污染防治法》第三十条第一款和,《中华人民共和国噪声污染防治法》第三十条第一款,"截断后缀""和""",环境保护
《中华人民共和国噪声污染防治法》第七十七条第二款:责令限期改正,《中华人民共和国噪声污染防治法》第七十七条第二款,"截断后缀"":责令限期改正""",环境保护
《中华人民共和国噪声污染防治法》第七十七条、,《中华人民共和国噪声污染防治法》第七十七条,"截断后缀""、""",环境保护
《取水许可和水资源费征收管理条例》第四十九条和吉林省实施,《取水许可和水资源费征收管理条例》第四十九条,"截断后缀""和吉林省实施""",环境保护
《取水许可和水资源费征收管理条例》第四十八条之规定：未依照批准的取水许可规定条,《取水许可和水资源费征收管理条例》第四十八条之规定,"截断后缀""：未依照批准的取水许可规定条""",环境保护
《台州市城市市容和环境卫生管理条例》第三十六条第二款违反前款第一项至第三项规定的,《台州市城市市容和环境卫生管理条例》第三十六条第二款违反前款第一项至第三项,"截断后缀""规定的""",环境保护
"《北京市排水和再生水管理办法》第十六条条第二款,",《北京市排水和再生水管理办法》第十六条条第二款,"截断后缀"",""",环境保护
"《北京市排水和再生水管理办法》第十六条第二款,",《北京市排水和再生水管理办法》第十六条第二款,"截断后缀"",""",环境保护
《北京市环境噪声污染防治办法》第37条、,《北京市环境噪声污染防治办法》第37条,"截断后缀""、""",环境保护
《中华人民共和国噪声污染防治法》第五十六条和,《中华人民共和国噪声污染防治法》第五十六条,"截断后缀""和""",环境保护
《城镇排水与污水处理条例》第五十条第一款:“违反本条,《城镇排水与污水处理条例》第五十条第一款,"截断后缀"":“违反本条""",环境保护
《中华人民共和国固体废物污染环境防治法》第六十三条第二款、,《中华人民共和国固体废物污染环境防治法》第六十三条第二款,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染环境防治法》第六十八条第二项处罚决定：行政罚款,《中华人民共和国固体废物污染环境防治法》第六十八条第二项,"截断后缀""处罚决定：行政罚款""",环境保护
《中华人民共和国固体废物污染环境防治法》第六十八条第七项、,《中华人民共和国固体废物污染环境防治法》第六十八条第七项,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染环境防治法》第五十七条三款,《中华人民共和国固体废物污染环境防治法》第五十七条,"截断后缀""三款""",环境保护
《中华人民共和国固体废物污染环境防治法》第三十六条第一款和,《中华人民共和国固体废物污染环境防治法》第三十六条第一款,"截断后缀""和""",环境保护
《加油站大气污染物排放标准》第5.2条,《加油站大气污染物排放标准》,"截断后缀""第5.2条""",环境保护
"《中华人民共和国固体废物污染环境防治法》第八十一条第二款,",《中华人民共和国固体废物污染环境防治法》第八十一条第二款,"截断后缀"",""",环境保护
《中华人民共和国固体废物污染环境防治法》第五十二条、第五十五条、六十二条,《中华人民共和国固体废物污染环境防治法》第五十二条、第五十五条,"截断后缀""、六十二条""",环境保护
《城市绿化条例》第二十一条、,《城市绿化条例》第二十一条,"截断后缀""、""",环境保护
《城镇排水与污水处理条例》第二十条第二款规定,《城镇排水与污水处理条例》第二十条第二款,"截断后缀""规定""",环境保护
《城镇排水与污水处理条例》第二十一条第二款、,《城镇排水与污水处理条例》第二十一条第二款,"截断后缀""、""",环境保护
"《城镇排水与污水处理条例》第二十一条第二款,根据",《城镇排水与污水处理条例》第二十一条第二款,"截断后缀"",根据""",环境保护
"《城镇排水与污水处理条例》第二十一条第二款,",《城镇排水与污水处理条例》第二十一条第二款,"截断后缀"",""",环境保护
《中华人民共和国固体废物污染环境防治法》第四十条第一款“产生工业固体废物的单位应当根据经济、技术条,《中华人民共和国固体废物污染环境防治法》第四十条第一款,"截断后缀""“产生工业固体废物的单位应当根据经济、技...""",环境保护
《中华人民共和国固体废物污染环境防治法》第四十条、,《中华人民共和国固体废物污染环境防治法》第四十条,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染环境防治法》第十七条、五十二条,《中华人民共和国固体废物污染环境防治法》第十七条,"截断后缀""、五十二条""",环境保护
《城市市容和环境卫生管理条例》第十七条第二款及,《城市市容和环境卫生管理条例》第十七条第二款,"截断后缀""及""",环境保护
《城市市容和环境卫生管理条例》第九条和,《城市市容和环境卫生管理条例》第九条,"截断后缀""和""",环境保护
《城市市容和环境卫生管理条例》第十五条、,《城市市容和环境卫生管理条例》第十五条,"截断后缀""、""",环境保护
《城市市容和环境卫生管理条例》第三十六条、,《城市市容和环境卫生管理条例》第三十六条,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染环境防治法》第一百一十二条第一款第六项、第一百一十二条第二款规定,《中华人民共和国固体废物污染环境防治法》第一百一十二条第一款第六项、第一百一十二条第二款,"截断后缀""规定""",环境保护
《北京市危险废物污染环境防治条例》第四十条第一款和,《北京市危险废物污染环境防治条例》第四十条第一款,"截断后缀""和""",环境保护
《四川省环境保护行政处罚自由裁量权细化标准》第2.12.2.2条,《四川省环境保护行政处罚自由裁量权细化标准》,"截断后缀""第2.12.2.2条""",环境保护
"《中华人民共和国固体废物污染环境防治法》第一百一十二条第一款第六项,",《中华人民共和国固体废物污染环境防治法》第一百一十二条第一款第六项,"截断后缀"",""",环境保护
《中华人民共和国固体废物污染环境防治法》第七十五条第一项违法情形裁量执行人民币壹万元罚款,《中华人民共和国固体废物污染环境防治法》第七十五条第一项,"截断后缀""违法情形裁量执行人民币壹万元罚款""",环境保护
《中华人民共和国固体废物污染环境防治法》第三十三条第一款“企业事业单位应当根据经济、技术条,《中华人民共和国固体废物污染环境防治法》第三十三条第一款,"截断后缀""“企业事业单位应当根据经济、技术条""",环境保护
《中华人民共和国固体废物污染环境防治法》第三十三条、,《中华人民共和国固体废物污染环境防治法》第三十三条,"截断后缀""、""",环境保护
《中华人民共和国固体废物污染环境防治法》第三十三条:“企业事业单位应当根据经济、技术条,《中华人民共和国固体废物污染环境防治法》第三十三条,"截断后缀"":“企业事业单位应当根据经济、技术条""",环境保护
《中华人民共和国固体废物污染环境防治法》第七十七条项,《中华人民共和国固体废物污染环境防治法》第七十七条,"截断后缀""项""",环境保护
《中华人民共和国固体废物污染环境防治法》第一百零二条第﹝六﹞项,《中华人民共和国固体废物污染环境防治法》第一百零二条,"截断后缀""第﹝六﹞项""",环境保护
《中华人民共和国固体废物污染环境防治法》第七十五条处以罚款,《中华人民共和国固体废物污染环境防治法》第七十五条,"截断后缀""处以罚款""",环境保护
《中华人民共和国大气污染防治法》第一百一十七条第﹝八﹞项,《中华人民共和国大气污染防治法》第一百一十七条,"截断后缀""第﹝八﹞项""",环境保护
《中华人民共和国水污染防治法》第十条的规定依据,《中华人民共和国水污染防治法》第十条的规定,"截断后缀""依据""",环境保护
《中华人民共和国水污染防治法》第十条和,《中华人民共和国水污染防治法》第十条,"截断后缀""和""",环境保护
《中华人民共和国水污染防治法》第十条、,《中华人民共和国水污染防治法》第十条,"截断后缀""、""",环境保护
《中华人民共和国水污染防治法》第十七条、,《中华人民共和国水污染防治法》第十七条,"截断后缀""、""",环境保护
《中华人民共和国水污染防治法》第十七条第三款“建设项,《中华人民共和国水污染防治法》第十七条第三款,"截断后缀""“建设项""",环境保护
《中华人民共和国环境保护法》第二十七条、,《中华人民共和国环境保护法》第二十七条,"截断后缀""、""",环境保护
《中华人民共和国环境保护法》第二十五条、,《中华人民共和国环境保护法》第二十五条,"截断后缀""、""",环境保护
《中华人民共和国环境保护法》第五十五条和,《中华人民共和国环境保护法》第五十五条,"截断后缀""和""",环境保护
《中华人民共和国环境保护法》第六十一条“建设单位未依法提交建设项,《中华人民共和国环境保护法》第六十一条,"截断后缀""“建设单位未依法提交建设项""",环境保护
《中华人民共和国环境保护法》第六十一条、,《中华人民共和国环境保护法》第六十一条,"截断后缀""、""",环境保护
《中华人民共和国环境保护法》第六十一条关于“建设单位未依法提交建设项,《中华人民共和国环境保护法》第六十一条,"截断后缀""关于“建设单位未依法提交建设项""",环境保护
《中华人民共和国环境保护法》第五十九条第一款、,《中华人民共和国环境保护法》第五十九条第一款,"截断后缀""、""",环境保护
《中华人民共和国水法》第六十九条第二款未依照批准的取水许可规定条,《中华人民共和国水法》第六十九条第二款,"截断后缀""未依照批准的取水许可规定条""",环境保护
《中华人民共和国大气污染防治法》第四十五条的规定依据,《中华人民共和国大气污染防治法》第四十五条的规定,"截断后缀""依据""",环境保护
《中华人民共和国大气污染防治法》第四十五条和,《中华人民共和国大气污染防治法》第四十五条,"截断后缀""和""",环境保护
